Brute force results
Points and rectangles count    Time           Units
1                              107459         ns.
2                              157417         ns.
4                              281875         ns.
8                              260375         ns.
16                             279541         ns.
32                             414667         ns.
64                             350000         ns.
128                            852417         ns.
256                            2396792        ns.
512                            2442792        ns.
1024                           4516084        ns.
2048                           13407542       ns.
4096                           53467167       ns.
8192                           176959666      ns.
16384                          688470458      ns.
32768                          3440250417     ns.
65536                          38283326583    ns.
131072                         212408003834   ns.
