Persistent tree results
Points and rectangles count    Time           Units
1                              1596500        ns.
2                              773000         ns.
4                              773834         ns.
8                              1004834        ns.
16                             1270042        ns.
32                             1022875        ns.
64                             1184542        ns.
128                            1892459        ns.
256                            3440125        ns.
512                            7426916        ns.
1024                           30999584       ns.
2048                           81557083       ns.
4096                           292287875      ns.
8192                           1044837625     ns.
16384                          3890203166     ns.
32768                          16725604500    ns.
65536                          112843500458   ns.
131072                         660869435666   ns.
